Player,Map,Category,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,Score,Perfects,Medals,TeamOutcome,TeamScore,LengthSeconds,TeamGameScore
Spartarn Spy,Empyrean - Ranked,CTF 3 Captures,Loss,60.48,6664,7136,291,176,115,0.95,1.33,21,22,7,0,0,2475,0,7,Loss,10450,801,1
Misguid3d Ghost,Empyrean - Ranked,CTF 3 Captures,Loss,57.55,4844,6229,212,122,90,0.81,-1.33,17,21,8,0,0,2150,2,11,Loss,10450,801,1

AThaiKiwi,Live Fire - Ranked,Oddball,Win,51.79,10511,10047,446,231,215,1.03,6.0,31,30,15,0,0,3965,2,14,Win,17620,1169,2
ShadowKillxr,Live Fire - Ranked,Oddball,Win,61.99,12258,9666,463,287,176,1.55,21.33,45,29,16,0,0,5665,5,19,Win,17620,1169,2
Patotally,Live Fire - Ranked,Oddball,Win,51.79,10505,9028,419,217,202,1.11,8.33,31,28,16,0,0,4505,1,15,Win,17620,1169,2
J7 ZeR,Live Fire - Ranked,Oddball,Win,43.75,6419,8823,320,140,180,0.57,-5.33,16,28,20,0,0,3485,0,5,Win,17620,1169,2
DoNotDefyMe,Live Fire - Ranked,Oddball,Loss,66.14,12226,10539,440,291,149,1.36,15.66,38,28,17,0,0,5655,5,42,Loss,16965,1169,1
Misguid3d Ghost,Live Fire - Ranked,Oddball,Loss,59.94,8553,9597,317,190,127,0.97,1.66,30,31,8,0,0,3880,2,15,Loss,16965,1169,1
Spartarn Spy,Live Fire - Ranked,Oddball,Loss,49.46,6436,10267,277,137,140,0.57,-9.0,20,35,18,0,0,3775,1,8,Loss,16965,1169,1
S0S OhKay,Live Fire - Ranked,Oddball,Loss,60.66,9879,9891,366,222,144,0.93,3.33,27,29,16,0,0,3655,6,18,Loss,16965,1169,1

Manxcy,Argyle - Ranked,CTF 3 Captures,Draw,54.29,5731,4082,245,133,112,1.62,10.33,21,13,7,0,0,2505,0,8,Draw,7285,581,0
ShadowKillxr,Argyle - Ranked,CTF 3 Captures,Draw,70.45,6327,4430,220,155,65,2.0,13.33,24,12,4,0,0,2625,7,13,Draw,6345,581,0
Patotally,Argyle - Ranked,CTF 3 Captures,Draw,55.61,4392,4152,187,104,83,1.07,2.0,15,14,3,0,0,1725,1,7,Draw,6345,581,0
