Player,Map,Category,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,Score,Perfects,Medals,TeamOutcome,TeamScore,LengthSeconds,TeamGameScore
Foot6all Maniac,Streets - Ranked,Oddball,Loss,60.81,12475,10730,467,284,183,1.19,11.0,37,31,15,0,0,4695,3,11,Loss,16425,1322,1
reece roodles,Streets - Ranked,Oddball,Loss,50.52,10798,10895,483,244,239,0.81,-2.0,29,36,15,0,0,3775,2,13,Loss,16425,1322,1

La Catarina,Recharge - Ranked,Strongholds,Win,58.82,4979,3088,170,100,70,1.44,7.0,13,9,9,0,0,2145,1,5,Win,7420,471,69
Manxcy,Recharge - Ranked,Strongholds,Win,40.27,4088,3105,226,91,135,1.4,5.66,14,10,5,0,0,1860,1,6,Win,7420,471,69
BML 1999,Recharge - Ranked,Strongholds,Win,46.29,3781,3915,175,81,94,0.64,-0.33,7,11,11,0,0,1380,0,4,Win,7420,471,69
TheMageLord,Recharge - Ranked,Strongholds,Win,51.95,3566,2520,154,80,74,2.5,10.0,15,6,3,0,0,2035,0,8,Win,7420,471,69
Misguid3d Ghost,Recharge - Ranked,Strongholds,Loss,44.7,2528,4504,132,59,73,0.4,-7.33,6,15,5,0,0,1080,0,4,Loss,5345,471,250
Spartarn Spy,Recharge - Ranked,Strongholds,Loss,58.33,3228,4259,132,77,55,0.79,-1.66,11,14,4,0,0,1450,1,3,Loss,5345,471,250
SaltyicePack970,Recharge - Ranked,Strongholds,Loss,48.18,2473,3784,137,66,71,0.6,-2.33,6,10,5,0,0,1000,0,3,Loss,5345,471,250
